id,name,rating,review_count,categories,price,address,latitude,longitude,url,website_url,city
VOPdG8llLPaga9iJxXcMuQ,The Pink Door,4.4,7790,"Italian, Wine Bars, Pasta Shops",$$$,"1919 Post Alley, Seattle, WA 98101",47.61028,-122.3425,https://www.yelp.com/biz/the-pink-door-seattle-4?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.thepinkdoor.net/menus,"Seattle, WA"
KhI3zQmALGsZ6wH9c9v96Q,La Fontana Siciliana,4.2,720,Sicilian,$$$,"120 Blanchard St, Seattle, WA 98121",47.613146,-122.3449,https://www.yelp.com/biz/la-fontana-siciliana-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://lafontanasiciliana.com/menu/,"Seattle, WA"
XoLfRZ0jA8cf_MYL90OgEA,Cascina Spinasse,4.4,1495,Italian,$$$,"1531 14th Ave, Seattle, WA 98122",47.615054,-122.314429,https://www.yelp.com/biz/cascina-spinasse-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://spinasse.com/menu/,"Seattle, WA"
lVSi-ilqM8FzT_HnK7cQ4A,Il Terrazzo Carmine,4.3,718,Italian,$$$,"411 1st Ave S, Seattle, WA 98104",47.598694662445,-122.33460180661,https://www.yelp.com/biz/il-terrazzo-carmine-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,,"Seattle, WA"
YNEfflawkkUO6tGwUiy-uA,Bucatini,4.5,813,"Italian, Salad, Wine Bars",$$,"9818 Edmonds Way, Edmonds, WA 98020",47.790518,-122.365058,https://www.yelp.com/biz/bucatini-edmonds?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://www.bucatiniedmonds.com,"Seattle, WA"
203TwdHPPy7OxA8oWyoP9Q,Ristorante Machiavelli,3.6,101,"Pizza, Italian",,"316 Main St, Edmonds, WA 98020",47.81110556799452,-122.37905658781528,https://www.yelp.com/biz/ristorante-machiavelli-edmonds?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/ristorante-machiavelli-edmonds?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
Q_xYu-RqixW4O-TlEbc1fA,Assaggio Ristorante,4.0,956,"Italian, Pizza, Venues & Event Spaces",$$,"2010 4th Ave, Seattle, WA 98121",47.61340455203913,-122.34033260000004,https://www.yelp.com/biz/assaggio-ristorante-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.assaggioseattle.com/menu,"Seattle, WA"
j4hMaEdBcD8bEN6-N10Tsw,Cheese Room Seattle,4.3,107,Italian,$$,"1215 Pine St, Seattle, WA 98101",47.615024423562566,-122.3280631,https://www.yelp.com/biz/cheese-room-seattle-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/cheese-room-seattle-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
BG4ZGXyO1srEI_Tly68ReQ,Le Coin,4.4,620,"Seafood, French, New American",$$$,"4201 Fremont Ave N, Seattle, WA 98103",47.657835,-122.350253,https://www.yelp.com/biz/le-coin-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/le-coin-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
czZc0dlufumMXh9-Ncq2xA,Barolo Ristorante,4.0,1430,"Italian, Wine Bars",$$$,"1940 Westlake Ave, Seattle, WA 98101",47.614555,-122.337486,https://www.yelp.com/biz/barolo-ristorante-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://baroloseattle.com/menus/,"Seattle, WA"
xFNXW_Pu5IeVnjn9W7JF7A,How to Cook a Wolf,3.8,158,Italian,,"4200 E Madison St, Seattle, WA 98112",47.635889,-122.278226,https://www.yelp.com/biz/how-to-cook-a-wolf-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://howtocookawolf.com/restaurants/madison-park?section=menu&menu=dinner-how-to-cook-a-wolf-madison-park-seattle&mode=list,"Seattle, WA"
M3snAxCCx_jNoioG3jH9Fg,Tavolata,3.4,140,"Italian, Wine Bars, Cocktail Bars",$$,"16050 Cleveland St, Redmond, WA 98052",47.67446215402943,-122.12586843800804,https://www.yelp.com/biz/tavolata-redmond-6?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://tavolata.com/location/downtown-redmond/menu,"Seattle, WA"
