id,name,rating,review_count,categories,price,address,latitude,longitude,url,website_url,city
5ufHVEdJNPypB4v_UhUUUQ,Patrizi's,4.4,1116,Italian,$$,"2307 Manor Rd, Austin, TX 78722",30.2839715080976,-97.7172101465576,https://www.yelp.com/biz/patrizis-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://patrizis.com/menu,"Austin, TX"
N20Ind9AWLbsCFFxtR_URQ,Gino's Vino Osteria,4.3,457,"Italian, Wine Bars",$$$,"1239 E 51st St, Austin, TX 78723",30.307265,-97.706995,https://www.yelp.com/biz/ginos-vino-osteria-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://ginosvinoosteria.com/menu/,"Austin, TX"
XzMq2IRnVCloPe55VhFJMw,Sixty Vines,4.5,170,"New American, Wine Bars, Breakfast & Brunch",,"3401 Esperanza Crossing, Austin, TX 78758",30.40040559402738,-97.727169,https://www.yelp.com/biz/sixty-vines-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.sixtyvines.com/menu,"Austin, TX"
I_tihalRHYomjjS1itu-2Q,Tuscano Italian Kitchen,4.1,144,"Italian, Pizza, Salad",$$,"1525 Cypress Creek Rd, Cedar Park, TX 78613",30.481255,-97.834345,https://www.yelp.com/biz/tuscano-italian-kitchen-cedar-park-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://www.tuscanoitalian.com/menu,"Austin, TX"
DEwI42CcLxJuw_atsKw-dw,ARTIPASTA,4.3,141,Italian,$$,"6406 N Interstate 35 Frontage Rd, Ste 2510, Austin, TX 78752",30.32530101220533,-97.70749083201297,https://www.yelp.com/biz/artipasta-austin-8?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.artipasta.com/wp-content/uploads/2020/08/Menu-02.pdf,"Austin, TX"
VJDXjHHahRU3P_Ultl7-Yw,North Italia,4.0,1800,"Italian, Pizza, Cocktail Bars",$$,"11506 Century Oaks Ter, Ste 124, Austin, TX 78758",30.4022781469848,-97.7259850502014,https://www.yelp.com/biz/north-italia-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.northitalia.com/locations/austin-tx-the-domain/menus/dinner-menu/,"Austin, TX"
219PW5kim2d_qNIaoSWuaw,La Traviata Italian Kitchen,4.3,59,Italian,,"7415 Southwest Pkwy, Bldg 4, Ste 100, Austin, TX 78735",30.255671619659612,-97.86811703134812,https://www.yelp.com/biz/la-traviata-italian-kitchen-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://latraviataaustin.toast.site/menu,"Austin, TX"
i_2XxgXPFjVxkXRnHjtu-A,Fig Italian Kitchen & Bar,4.3,89,"Italian, Cocktail Bars",,"3403 South Lamar Blvd, Austin, TX 78704",30.240681,-97.78596,https://www.yelp.com/biz/fig-italian-kitchen-and-bar-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.figaustin.com/menu,"Austin, TX"
4AuERkMFhB3R1Yvk8gfJYA,Marco's Italian Restaurant & Pizzeria,3.6,201,Italian,$$,"303 Wimberley Sq, Wimberley, TX 78676",29.995734670766,-98.09717738293976,https://www.yelp.com/biz/marcos-italian-restaurant-and-pizzeria-wimberley?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://marcoswimberley.com/menu,"Austin, TX"
dGMoiigc_InxK_wERGL4RQ,Bellissima,4.5,102,"Pizza, Italian, Mediterranean",,"8300 N Fm 620, Bldg K, Ste 200, Austin, TX 78726",30.42369753372156,-97.84677494110534,https://www.yelp.com/biz/bellissima-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/bellissima-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Austin, TX"
K0BGkRH-kEP5UryxIl41-A,Juliet Italian Kitchen,3.7,201,"Italian, Beer, Wine & Spirits",$$,"701 S Main St, Georgetown, TX 78626",30.6374,-97.67695,https://www.yelp.com/biz/juliet-italian-kitchen-georgetown-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.juliet-austin.com/georgetown-menu,"Austin, TX"
zMgMiOGhP5tmihq4CgB1dA,ATX Olive Company,3.5,19,"Pizza, Italian, Tapas/Small Plates",,"4415 S Ih 35, Austin, TX 78744",30.210848908937187,-97.7534977312387,https://www.yelp.com/biz/atx-olive-company-no-title?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/atx-olive-company-no-title?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Austin, TX"
MnO3YMUGAnkHm-iy5wo0mQ,Intero Restaurant,4.6,612,"Italian, Desserts, Cocktail Bars",$$$,"2612 E Cesar Chavez St, Austin, TX 78702",30.2538078303281,-97.7146533178121,https://www.yelp.com/biz/intero-restaurant-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/intero-restaurant-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Austin, TX"
mHHPfCZGRp4BQe_QvVno7g,Juliet Italian Kitchen,3.8,1049,"Italian, Cocktail Bars, Comfort Food",$$,"1500 Barton Springs Rd, Austin, TX 78704",30.261645819614227,-97.76005464342612,https://www.yelp.com/biz/juliet-italian-kitchen-austin-5?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://www.juliet-austin.com/menu/,"Austin, TX"
3gYruqSQnMtCmF2DiXcEOQ,Vespaio Ristorante,4.1,800,Italian,$$$,"1610 S Congress Ave, Austin, TX 78704",30.24735,-97.75074,https://www.yelp.com/biz/vespaio-ristorante-austin-6?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://austinvespaio.com/vespaio/menus/,"Austin, TX"
zfAgo9H5J0ZI-RipqFbovA,Loudmouth,4.5,83,"Pizza, Bars, Italian",$$,"1209 Rosewood Ave, Austin, TX 78702",30.268387644294513,-97.7262648,https://www.yelp.com/biz/loudmouth-austin-3?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.loudmouth.pizza/_files/ugd/4ee5ed_1df474ea34dc4908a4f4c448160a722f.pdf,"Austin, TX"
E2MswK8SL-X50T2msouZDQ,Postino South Lamar,4.5,126,"Wine Bars, Cocktail Bars, New American",,"1301 South Lamar Blvd, Ste 102, Austin, TX 78704",30.253931016710123,-97.76262832037658,https://www.yelp.com/biz/postino-south-lamar-austin-4?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.postinowinecafe.com/locations/postino-south-lamar,"Austin, TX"
Unl62KlI0kwF8pToy7QjSA,Vic & Al's,4.7,622,"Cajun/Creole, Bars, Comfort Food",$$,"2406 Manor Rd, Ste D, Austin, TX 78722",30.2849835,-97.7168484,https://www.yelp.com/biz/vic-and-als-austin?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.vicandals.com/menu,"Austin, TX"
yPpHMQ-QJxEEOor9C5Fl_A,Numero 28,4.1,728,"Italian, Gelato, Pizza",$$,"452 W 2nd St, Austin, TX 78701",30.26566,-97.74841,https://www.yelp.com/biz/numero-28-austin-5?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.numero28austin.com/lunch-dinner/,"Austin, TX"
